Instar,ActiveFeeding,Fgp,Mgp,Mass,LogMass,Intake,WetFrass,DryFrass,Cassim,Nfrass,Nassim
1,Y,Y,Y,0.002064,-2.685290307,0.165118,0.000241,0.000208,0.014223778,6.61E-06,0.001858999
1,Y,N,N,0.005191,-2.284748971,0.201008,0.000063,0.000061,0.017391893,1.03E-06,0.002270091
2,N,Y,N,0.005603,-2.251579378,0.189125,0.001401,0.000969,0.016399229,2.78E-05,0.00230221
2,Y,N,N,0.0193,-1.714442691,0.28328,0.002045,0.001834,0.023924677,4.64E-05,0.003041352
2,N,Y,Y,0.0293,-1.53313238,0.259569,0.005377,0.003523,0.021228574,9.97E-05,0.002791898
3,Y,Y,N,0.0626,-1.203425667,0.327864,0.0295,0.000789,0.028363646,1.84E-05,0.003627464
3,N,N,N,0.1696,-0.770574152,0.222276,0.0158,0.006336,0.017034604,0.000199584,0.002436609
4,Y,Y,Y,0.1833,-0.736837535,0.842907,0.0422,0.0266,0.060500522,0.00088312,0.008658587
4,Y,Y,N,0.4649,-0.332640454,1.174727,0.2311,0.0835,0.068882868,0.0033734,0.009971499
4,N,N,N,1.1972,0.078166708,0.490843,0.102,0.0338,0.029697747,0.00145002,0.004155407
4,Y,Y,Y,1.2928,0.111531343,1.473492,0.2446,0.0812,0.09704541,0.00280952,0.01375253
5,Y,Y,N,2.3388,0.368993085,3.970024,1.057,0.2718,0.242506596,0.01225818,0.033079494
5,Y,Y,Y,5.0247,0.701110137,6.413071,2.4043,0.4254,0.37675737,0.0216954,0.04423097
5,Y,N,N,8.3967,0.924108637,6.845655,2.9244,0.4377,0.423557201,0.02573676,0.047785575
5,N,N,N,11.071,1.044186851,1.399822,1.4252,0.2491,0.032609363,0.01858286,-0.002260935
1,Y,Y,N,0.00136,-2.866461092,0.142275,0.000165,0.000159,0.012247165,7.66E-06,0.001599854
1,Y,Y,N,0.003887,-2.410385459,0.156965,0.000362,0.000265,,,
1,Y,Y,Y,0.007017,-2.153848523,0.261627,0.001269,0.000573,0.02299056,1.13E-05,0.003211899
2,N,Y,Y,0.0136,-1.866461092,0.252979,0.003299,0.002946,0.020890666,7.87E-05,0.002678813
2,N,N,N,0.029,-1.537602002,0.229611,0.001289,0.001203,0.019575243,3.57E-05,0.002522137
3,Y,Y,N,0.0333,-1.477555766,0.272544,0.0203,0.007973,0.020665039,0.000212879,0.00281781
3,Y,N,N,0.1044,-0.981299501,0.444235,0.0213,0.0108,0.03479601,0.00034128,0.004927347
3,N,Y,Y,0.1637,-0.785951321,0.266101,0.0185,0.007338,0.019668476,0.000227478,0.002784785
4,Y,Y,N,0.2759,-0.5592483,0.91363,0.081,0.0404,0.063664319,0.0013534,0.009025437
4,Y,Y,N,0.6799,-0.167554959,0.881234,0.1407,0.0553,0.056032859,0.00213458,0.007929112
4,N,N,N,1.2036,0.080482179,0.161534,0.0196,0.008102,0.011168063,0.000291672,0.00152397
5,Y,Y,Y,1.1941,0.077040698,1.736225,0.17,0.0687,0.125398492,0.00221214,0.01761555
5,Y,Y,N,2.3415,0.369494162,3.584659,0.7779,0.2297,0.211222841,0.00907315,0.027777145
5,Y,Y,Y,4.8742,0.687903345,4.909644,1.4178,0.2534,0.322902879,0.01386098,0.038868597
5,Y,N,N,7.7178,0.88749352,5.307013,2.4442,0.338,0.350588715,0.0212264,0.040653372
5,N,N,N,9.9449,0.99760042,2.98603,2.3318,0.301,0.157113989,0.0184513,0.014574192
1,Y,Y,N,0.001087,-2.963770456,0.119229,0.0002,0.00019,0.01024767,0.000009025,0.001338104
1,Y,Y,Y,0.001785,-2.74836178,0.15461,0.000752,0.000627,0.013156603,2.60E-05,0.001720929
1,Y,N,N,0.006549,-2.18382501,0.205164,0.000225,0.000186,0.01770253,4.76E-06,0.002313318
1,N,Y,N,0.006708,-2.173406946,0.151986,0.000174,0.000098,0.013449929,2.04E-06,0.001870429
